Date;Heures;Consommation;t
2018-01-01;0;61127.0;8.338095238095262
2018-01-01;3;54727.0;7.761904761904783
2018-01-01;6;50751.0;7.471428571428594
2018-01-01;9;51035.0;8.311904761904783
2018-01-01;12;57169.0;9.845238095238116
2018-01-01;15;55044.0;9.56904761904764
2018-01-01;18;60296.0;8.578571428571454
2018-01-01;21;60475.0;8.435714285714306
2018-01-02;0;60489.0;7.764285714285732
2018-01-02;3;53350.0;7.578571428571452
2018-01-02;6;54909.0;7.0761904761905
2018-01-02;9;65030.0;7.904761904761925
2018-01-02;12;69473.0;9.87857142857145
2018-01-02;15;66557.0;10.347619047619073
2018-01-02;18;69493.0;10.328571428571454
2018-01-02;21;64636.0;10.671428571428597
2018-01-03;0;63024.0;10.988095238095262
2018-01-03;3;54051.0;11.373809523809546
2018-01-03;6;54950.0;11.342857142857163
2018-01-03;9;66056.0;11.423809523809544
2018-01-03;12;69259.0;12.25238095238098
2018-01-03;15;67144.0;12.045238095238119
2018-01-03;18;70425.0;10.700000000000022
2018-01-03;21;65444.0;10.388095238095262
2018-01-04;0;64088.0;10.933333333333355
2018-01-04;3;55056.0;11.423809523809544
2018-01-04;6;55648.0;11.866666666666688
2018-01-04;9;65921.0;12.70731707317075
2018-01-04;12;68804.0;13.719047619047641
2018-01-04;15;65641.0;13.371428571428591
2018-01-04;18;68101.0;11.745238095238117
2018-01-04;21;63475.0;10.830952380952404
2018-01-05;0;62363.0;10.204761904761934
2018-01-05;3;53589.0;9.819047619047641
2018-01-05;6;54901.0;9.140476190476212
2018-01-05;9;65966.0;9.930952380952405
2018-01-05;12;67751.0;11.973809523809543
2018-01-05;15;63997.0;11.309523809523833
2018-01-05;18;67307.0;9.080952380952402
2018-01-05;21;63316.0;8.183333333333355
2018-01-06;0;63096.0;7.76666666666669
2018-01-06;3;53923.0;7.485714285714304
2018-01-06;6;52059.0;7.15238095238098
2018-01-06;9;58501.0;7.4261904761905
2018-01-06;12;63472.0;9.180952380952403
2018-01-06;15;59704.0;9.033333333333353
2018-01-06;18;63245.0;8.014285714285737
2018-01-06;21;61122.0;7.719047619047641
2018-01-07;0;62139.0;7.88809523809526
2018-01-07;3;53363.0;8.109523809523832
2018-01-07;6;50869.0;8.252380952380978
2018-01-07;9;55055.0;8.483333333333357
2018-01-07;12;63289.0;9.30000000000002
2018-01-07;15;59200.0;9.304761904761925
2018-01-07;18;63034.0;8.759523809523833
2018-01-07;21;63090.0;8.309523809523833
2018-01-08;0;62642.0;7.900000000000024
2018-01-08;3;55451.0;7.4738095238095505
2018-01-08;6;58342.0;7.073809523809546
2018-01-08;9;72352.0;7.441463414634163
2018-01-08;12;73574.0;8.775609756097586
2018-01-08;15;69879.0;8.758536585365878
2018-01-08;18;73889.0;7.204878048780509
2018-01-08;21;69107.0;6.429268292682947
2018-01-09;0;66866.0;5.800000000000024
2018-01-09;3;59090.0;5.265000000000022
2018-01-09;6;61355.0;5.077500000000029
2018-01-09;9;74378.0;6.055000000000024
2018-01-09;12;74614.0;8.880487804878069
2018-01-09;15;70285.0;9.536585365853686
2018-01-09;18;73843.0;8.048780487804903
2018-01-09;21;69007.0;7.714634146341486
2018-01-10;0;66484.0;7.453658536585396
2018-01-10;3;58268.0;6.956097560975632
2018-01-10;6;60421.0;6.675609756097584
2018-01-10;9;73279.0;7.431707317073193
2018-01-10;12;72698.0;10.139024390243925
2018-01-10;15;68027.0;10.04634146341466
2018-01-10;18;71667.0;7.753658536585389
2018-01-10;21;68436.0;6.5487804878049
2018-01-11;0;66517.0;6.039024390243928
2018-01-11;3;58732.0;5.839024390243923
2018-01-11;6;60911.0;5.5975609756097855
2018-01-11;9;74202.0;6.131707317073194
2018-01-11;12;73677.0;8.119047619047636
2018-01-11;15;69417.0;8.347619047619068
2018-01-11;18;73508.0;6.530952380952406
2018-01-11;21;69951.0;5.623809523809551
2018-01-12;0;67964.0;5.080952380952404
2018-01-12;3;60252.0;4.7476190476190725
2018-01-12;6;62554.0;4.500000000000021
2018-01-12;9;75916.0;5.285714285714313
2018-01-12;12;75650.0;7.554761904761929
2018-01-12;15;70991.0;7.745238095238123
2018-01-12;18;74652.0;5.785714285714311
2018-01-12;21;70160.0;4.75238095238097
2018-01-13;0;69455.0;3.8238095238095475
2018-01-13;3;60764.0;3.026190476190501
2018-01-13;6;59607.0;2.7428571428571655
2018-01-13;9;67474.0;3.9666666666666917
2018-01-13;12;70095.0;7.114285714285736
2018-01-13;15;65444.0;7.333333333333356
2018-01-13;18;69131.0;5.330952380952406
2018-01-13;21;67359.0;4.580952380952404
2018-01-14;0;68168.0;4.078048780487831
2018-01-14;3;60097.0;3.726190476190495
2018-01-14;6;57143.0;3.6166666666666933
2018-01-14;9;62081.0;4.27857142857145
2018-01-14;12;67969.0;7.2285714285714535
2018-01-14;15;61434.0;7.671428571428597
2018-01-14;18;65708.0;5.452380952380979
2018-01-14;21;67344.0;4.730952380952404
2018-01-15;0;66855.0;4.68809523809526
2018-01-15;3;60129.0;4.704761904761928
2018-01-15;6;63209.0;4.845238095238118
2018-01-15;9;76515.0;6.416666666666688
2018-01-15;12;76966.0;8.738095238095266
2018-01-15;15;73701.0;9.190476190476215
2018-01-15;18;76052.0;8.54285714285716
2018-01-15;21;70762.0;8.500000000000025
2018-01-16;0;67792.0;8.861904761904785
2018-01-16;3;59302.0;9.076190476190495
2018-01-16;6;61187.0;9.295238095238119
2018-01-16;9;73670.0;9.97380952380955
2018-01-16;12;73583.0;11.185714285714305
2018-01-16;15;69279.0;10.890476190476212
2018-01-16;18;73441.0;9.49761904761907
2018-01-16;21;69574.0;8.947619047619074
2018-01-17;0;67826.0;8.511904761904786
2018-01-17;3;60356.0;7.504761904761928
2018-01-17;6;63286.0;6.792857142857166
2018-01-17;9;77032.0;6.838095238095261
2018-01-17;12;75979.0;8.45714285714288
2018-01-17;15;70944.0;8.459523809523828
2018-01-17;18;75240.0;6.9333333333333576
2018-01-17;21;71977.0;6.573809523809554
2018-01-18;0;69527.0;6.30952380952383
2018-01-18;3;62074.0;6.459523809523828
2018-01-18;6;63567.0;6.976190476190497
2018-01-18;9;75162.0;8.35476190476193
2018-01-18;12;74674.0;10.514285714285739
2018-01-18;15;70204.0;10.550000000000022
2018-01-18;18;72776.0;8.938095238095263
2018-01-18;21;69373.0;8.007142857142876
2018-01-19;0;67409.0;7.323809523809546
2018-01-19;3;59774.0;6.540476190476212
2018-01-19;6;62226.0;5.790476190476213
2018-01-19;9;75230.0;6.826190476190497
