Heures;mois;t;jour_semaine;jour_mois;Consommation
0;1;-0.48333333333331197;3;1;74494.0
3;1;-1.1333333333333095;3;1;68840.0
6;1;-1.3785714285714077;3;1;64210.0
9;1;0.3809523809524053;3;1;64292.0
12;1;4.666666666666686;3;1;66901.0
15;1;5.600000000000023;3;1;62228.0
18;1;2.5428571428571636;3;1;68890.0
21;1;1.6833333333333615;3;1;70440.0
0;1;1.661904761904788;4;2;70442.0
3;1;2.0952380952381153;4;2;63815.0
6;1;2.3952380952381227;4;2;63639.0
9;1;4.5833333333333535;4;2;70385.0
12;1;7.797619047619068;4;2;73650.0
15;1;8.450000000000026;4;2;68603.0
18;1;5.852380952380973;4;2;73003.0
21;1;4.861904761904785;4;2;70139.0
0;1;4.450000000000024;5;3;69454.0
3;1;4.356097560975627;5;3;61537.0
6;1;5.147619047619069;5;3;58983.0
9;1;6.890476190476213;5;3;64219.0
12;1;10.509523809523834;5;3;68325.0
15;1;11.630000000000022;5;3;64100.0
18;1;10.392857142857164;5;3;66346.0
21;1;9.719047619047647;5;3;63221.0
0;1;9.290476190476213;6;4;63198.0
3;1;8.540476190476213;6;4;54873.0
6;1;7.673809523809548;6;4;51177.0
9;1;8.295238095238119;6;4;54902.0
12;1;10.200000000000026;6;4;61463.0
15;1;9.757142857142881;6;4;57404.0
18;1;6.945238095238118;6;4;63395.0
21;1;5.697619047619076;6;4;64818.0
0;1;4.511904761904782;0;5;64953.0
3;1;3.4642857142857344;0;5;59186.0
6;1;2.609523809523829;0;5;62019.0
9;1;3.7309523809524023;0;5;76658.0
12;1;6.8285714285714505;0;5;77457.0
15;1;7.342857142857164;0;5;73054.0
18;1;3.8666666666666862;0;5;78669.0
21;1;2.39761904761907;0;5;74925.0
0;1;1.9285714285714515;1;6;72782.0
3;1;1.5833333333333524;1;6;65740.0
6;1;1.3952380952381187;1;6;67967.0
9;1;3.180487804878076;1;6;81910.0
12;1;6.147619047619073;1;6;81772.0
15;1;7.150000000000022;1;6;76824.0
18;1;5.171428571428596;1;6;81080.0
21;1;4.45000000000002;1;6;75903.0
0;1;3.792857142857165;2;7;72638.0
3;1;3.269047619047644;2;7;65230.0
6;1;2.9714285714285973;2;7;67518.0
9;1;4.2214285714286;2;7;81389.0
12;1;7.897619047619069;2;7;80177.0
15;1;8.5761904761905;2;7;74884.0
18;1;6.023809523809547;2;7;78993.0
21;1;5.55952380952383;2;7;74383.0
0;1;5.628571428571451;3;8;71684.0
3;1;5.633333333333354;3;8;63811.0
6;1;5.664285714285737;3;8;65040.0
9;1;7.157142857142875;3;8;77862.0
12;1;10.528571428571452;3;8;76919.0
15;1;10.997619047619073;3;8;72120.0
18;1;8.761904761904788;3;8;75899.0
21;1;8.26428571428574;3;8;71137.0
0;1;7.578571428571453;4;9;68532.0
3;1;7.590476190476215;4;9;60747.0
6;1;8.052380952380974;4;9;62356.0
9;1;9.335714285714312;4;9;74672.0
12;1;12.216666666666688;4;9;74178.0
15;1;12.828571428571452;4;9;68972.0
18;1;11.847619047619071;4;9;71166.0
21;1;11.721428571428595;4;9;65849.0
0;1;11.400000000000018;5;10;63512.0
3;1;11.223809523809548;5;10;53621.0
6;1;10.84285714285716;5;10;51230.0
9;1;11.461904761904785;5;10;57969.0
12;1;13.48809523809526;5;10;61085.0
15;1;12.98809523809526;5;10;57244.0
18;1;10.623809523809545;5;10;60749.0
21;1;9.409523809523831;5;10;59180.0
0;1;8.621428571428591;6;11;60709.0
3;1;7.835714285714309;6;11;52362.0
6;1;7.066666666666689;6;11;49710.0
9;1;7.23571428571431;6;11;55044.0
12;1;9.411904761904786;6;11;60877.0
15;1;9.147619047619067;6;11;55486.0
18;1;6.688095238095262;6;11;61334.0
21;1;5.554761904761935;6;11;63766.0
0;1;4.954761904761931;0;12;64211.0
3;1;4.540476190476214;0;12;57864.0
6;1;4.290476190476214;0;12;61254.0
9;1;5.861904761904779;0;12;75579.0
12;1;10.069047619047643;0;12;74656.0
15;1;11.35238095238098;0;12;69133.0
18;1;7.716666666666694;0;12;73517.0
21;1;6.5833333333333535;0;12;70009.0
0;1;6.392857142857165;1;13;67741.0
3;1;6.221428571428595;1;13;59943.0
6;1;5.9928571428571695;1;13;61839.0
9;1;8.080487804878068;1;13;75036.0
12;1;11.852380952380974;1;13;73731.0
15;1;12.021428571428595;1;13;68778.0
18;1;9.061904761904783;1;13;72565.0
21;1;8.400000000000025;1;13;68648.0
0;1;7.638095238095267;2;14;66424.0
3;1;6.976190476190497;2;14;58849.0
6;1;6.6476190476190675;2;14;60872.0
9;1;7.521428571428595;2;14;74610.0
12;1;10.090476190476215;2;14;74276.0
15;1;10.271428571428592;2;14;69201.0
18;1;7.771428571428595;2;14;73596.0
21;1;7.090476190476212;2;14;69726.0
0;1;6.91666666666669;3;15;67231.0
3;1;7.076190476190497;3;15;59756.0
6;1;7.150000000000022;3;15;61244.0
9;1;8.49761904761907;3;15;74011.0
12;1;11.071428571428592;3;15;74490.0
15;1;10.947619047619071;3;15;70273.0
18;1;8.952380952380976;3;15;73669.0
21;1;8.221428571428595;3;15;69014.0
0;1;7.671428571428593;4;16;65947.0
3;1;7.202380952380976;4;16;58079.0
6;1;6.759523809523834;4;16;60240.0
9;1;7.126190476190501;4;16;73553.0
12;1;8.10238095238097;4;16;74146.0
15;1;7.93333333333335;4;16;70016.0
18;1;6.411904761904783;4;16;73303.0
21;1;5.361904761904784;4;16;69167.0
0;1;4.68809523809526;5;17;67986.0
3;1;3.8500000000000214;5;17;59881.0
6;1;3.3404761904762124;5;17;58686.0
9;1;3.933333333333355;5;17;67156.0
12;1;6.726190476190497;5;17;69208.0
15;1;6.828571428571455;5;17;63123.0
18;1;4.369047619047636;5;17;67870.0
21;1;2.9119047619047866;5;17;67670.0
0;1;2.047619047619072;6;18;69655.0
3;1;1.4190476190476426;6;18;61867.0
6;1;1.0380952380952604;6;18;58956.0
9;1;2.3190476190476375;6;18;63714.0
12;1;5.578571428571448;6;18;68705.0
15;1;6.128571428571452;6;18;62528.0
18;1;3.907142857142882;6;18;67579.0
21;1;3.0214285714285927;6;18;69213.0
0;1;2.6547619047619264;0;19;68984.0
3;1;2.3000000000000207;0;19;62855.0
6;1;2.2452380952381157;0;19;65671.0
9;1;2.840476190476207;0;19;79382.0
12;1;4.840476190476215;0;19;80996.0
15;1;4.947619047619066;0;19;77207.0
18;1;3.3904761904762144;0;19;80427.0
21;1;2.5619047619047883;0;19;76023.0
0;1;1.7452380952381172;1;20;73676.0
3;1;1.2738095238095455;1;20;67190.0
6;1;0.9285714285714516;1;20;69499.0
9;1;1.6261904761905048;1;20;82637.0
12;1;3.9476190476190682;1;20;82750.0
15;1;4.440476190476215;1;20;77862.0
18;1;2.633333333333357;1;20;82195.0
21;1;1.6714285714285941;1;20;78216.0
0;1;1.4071428571428792;2;21;75364.0
3;1;1.0714285714285932;2;21;69259.0
6;1;1.2714285714285953;2;21;71021.0
9;1;2.2500000000000204;2;21;83448.0
12;1;4.750000000000024;2;21;83845.0
15;1;5.085714285714307;2;21;79239.0
18;1;3.735714285714308;2;21;82060.0
21;1;2.6428571428571646;2;21;77593.0
0;1;2.2619047619047836;3;22;75118.0
3;1;1.7285714285714495;3;22;69016.0
6;1;1.5666666666666886;3;22;71010.0
9;1;2.6404761904762117;3;22;83529.0
12;1;4.716666666666689;3;22;83257.0
15;1;5.030952380952403;3;22;78443.0
18;1;3.080952380952406;3;22;82185.0
21;1;2.2119047619047842;3;22;78936.0
0;1;1.5714285714285932;4;23;76520.0
3;1;1.333333333333355;4;23;70463.0
6;1;1.0547619047619308;4;23;72540.0
9;1;1.5976190476190684;4;23;85338.0
12;1;4.221428571428594;4;23;85003.0
15;1;4.8000000000000265;4;23;78898.0
18;1;2.6476190476190675;4;23;82211.0
21;1;1.7261904761904991;4;23;78975.0
0;1;1.3142857142857385;5;24;77605.0
3;1;1.2904761904762132;5;24;69672.0
6;1;1.4309523809524032;5;24;67531.0
9;1;2.7547619047619234;5;24;74924.0
12;1;5.45952380952383;5;24;76995.0
15;1;5.9785714285714535;5;24;71181.0
18;1;4.009523809523829;5;24;73655.0
21;1;2.842857142857165;5;24;73112.0
0;1;2.1119047619047846;6;25;74450.0
3;1;1.5404761904762159;6;25;67310.0
6;1;1.0047619047619303;6;25;63988.0
9;1;2.2880952380952575;6;25;68598.0
12;1;6.071428571428591;6;25;72918.0
15;1;6.600000000000025;6;25;65519.0
18;1;4.509523809523834;6;25;69026.0
21;1;3.719047619047638;6;25;72289.0
0;1;3.3119047619047857;0;26;71631.0
3;1;3.3357142857143107;0;26;65541.0
6;1;3.4714285714285906;0;26;67793.0
9;1;4.654761904761928;0;26;79980.0
12;1;6.452380952380979;0;26;81488.0
15;1;6.938095238095258;0;26;77495.0
18;1;5.890476190476217;0;26;79113.0
21;1;5.500000000000019;0;26;74670.0
0;1;4.8642857142857405;1;27;71738.0
3;1;4.471428571428594;1;27;65467.0
6;1;4.30952380952383;1;27;67486.0
9;1;5.040476190476213;1;27;79419.0
12;1;7.054761904761928;1;27;79670.0
15;1;7.204761904761927;1;27;75444.0
18;1;5.495238095238118;1;27;77918.0
21;1;4.940476190476212;1;27;74364.0
0;1;4.426190476190494;2;28;72169.0
3;1;4.214285714285735;2;28;65348.0
6;1;4.197619047619071;2;28;67120.0
9;1;5.64761904761907;2;28;80132.0
12;1;8.00476190476193;2;28;80418.0
15;1;8.459523809523835;2;28;76487.0
18;1;6.935714285714307;2;28;77977.0
21;1;6.326190476190497;2;28;74493.0
0;1;5.656097560975631;3;29;71737.0
3;1;5.5976190476190695;3;29;64417.0
6;1;5.457142857142882;3;29;66000.0
9;1;6.173809523809548;3;29;78706.0
12;1;7.416666666666693;3;29;80621.0
15;1;7.271428571428594;3;29;77787.0
18;1;6.828571428571455;3;29;79051.0
21;1;6.254761904761925;3;29;74483.0
0;1;5.209523809523827;4;30;72381.0
3;1;4.129268292682947;4;30;65671.0
6;1;3.992857142857163;4;30;68172.0
9;1;4.076190476190496;4;30;81198.0
12;1;5.617073170731732;4;30;81717.0
15;1;6.045238095238117;4;30;75919.0
18;1;4.4833333333333565;4;30;77773.0
21;1;3.7642857142857364;4;30;75052.0
0;1;2.961904761904783;5;31;73319.0
3;1;2.721428571428596;5;31;64856.0
6;1;2.123809523809549;5;31;62993.0
9;1;3.56904761904764;5;31;70500.0
12;1;5.771428571428591;5;31;72606.0
15;1;5.573809523809548;5;31;68428.0
18;1;3.830952380952406;5;31;71101.0
21;1;3.2833333333333585;5;31;71167.0
0;2;2.9804878048780705;6;1;72291.0
3;2;2.795238095238119;6;1;64740.0
6;2;2.4880952380952626;6;1;61320.0
9;2;3.164285714285738;6;1;65964.0
12;2;4.776190476190506;6;1;71783.0
15;2;4.77142857142859;6;1;66653.0
18;2;3.642857142857162;6;1;69189.0
21;2;2.9190476190476384;6;1;73005.0
0;2;2.383333333333357;0;2;72326.0
3;2;1.702380952380974;0;2;66254.0
6;2;0.9904761904762127;0;2;69242.0
9;2;2.0500000000000234;0;2;82871.0
12;2;5.000000000000026;0;2;81710.0
15;2;5.13809523809526;0;2;77134.0
18;2;2.6857142857143104;0;2;79773.0
