Date;Heures;Consommation;t
2015-01-01;0;74494.0;-0.48333333333331197
2015-01-01;3;68840.0;-1.1333333333333095
2015-01-01;6;64210.0;-1.3785714285714077
2015-01-01;9;64292.0;0.3809523809524053
2015-01-01;12;66901.0;4.666666666666686
2015-01-01;15;62228.0;5.600000000000023
2015-01-01;18;68890.0;2.5428571428571636
2015-01-01;21;70440.0;1.6833333333333615
2015-01-02;0;70442.0;1.661904761904788
2015-01-02;3;63815.0;2.0952380952381153
2015-01-02;6;63639.0;2.3952380952381227
2015-01-02;9;70385.0;4.5833333333333535
2015-01-02;12;73650.0;7.797619047619068
2015-01-02;15;68603.0;8.450000000000026
2015-01-02;18;73003.0;5.852380952380973
2015-01-02;21;70139.0;4.861904761904785
2015-01-03;0;69454.0;4.450000000000024
2015-01-03;3;61537.0;4.356097560975627
2015-01-03;6;58983.0;5.147619047619069
2015-01-03;9;64219.0;6.890476190476213
2015-01-03;12;68325.0;10.509523809523834
2015-01-03;15;64100.0;11.630000000000022
2015-01-03;18;66346.0;10.392857142857164
2015-01-03;21;63221.0;9.719047619047647
2015-01-04;0;63198.0;9.290476190476213
2015-01-04;3;54873.0;8.540476190476213
2015-01-04;6;51177.0;7.673809523809548
2015-01-04;9;54902.0;8.295238095238119
2015-01-04;12;61463.0;10.200000000000026
2015-01-04;15;57404.0;9.757142857142881
2015-01-04;18;63395.0;6.945238095238118
2015-01-04;21;64818.0;5.697619047619076
2015-01-05;0;64953.0;4.511904761904782
2015-01-05;3;59186.0;3.4642857142857344
2015-01-05;6;62019.0;2.609523809523829
2015-01-05;9;76658.0;3.7309523809524023
2015-01-05;12;77457.0;6.8285714285714505
2015-01-05;15;73054.0;7.342857142857164
2015-01-05;18;78669.0;3.8666666666666862
2015-01-05;21;74925.0;2.39761904761907
2015-01-06;0;72782.0;1.9285714285714515
2015-01-06;3;65740.0;1.5833333333333524
2015-01-06;6;67967.0;1.3952380952381187
2015-01-06;9;81910.0;3.180487804878076
2015-01-06;12;81772.0;6.147619047619073
2015-01-06;15;76824.0;7.150000000000022
2015-01-06;18;81080.0;5.171428571428596
2015-01-06;21;75903.0;4.45000000000002
2015-01-07;0;72638.0;3.792857142857165
2015-01-07;3;65230.0;3.269047619047644
2015-01-07;6;67518.0;2.9714285714285973
2015-01-07;9;81389.0;4.2214285714286
2015-01-07;12;80177.0;7.897619047619069
2015-01-07;15;74884.0;8.5761904761905
2015-01-07;18;78993.0;6.023809523809547
2015-01-07;21;74383.0;5.55952380952383
2015-01-08;0;71684.0;5.628571428571451
2015-01-08;3;63811.0;5.633333333333354
2015-01-08;6;65040.0;5.664285714285737
2015-01-08;9;77862.0;7.157142857142875
2015-01-08;12;76919.0;10.528571428571452
2015-01-08;15;72120.0;10.997619047619073
2015-01-08;18;75899.0;8.761904761904788
2015-01-08;21;71137.0;8.26428571428574
